2000 3
1581 1703 1434
906 1658 1816
1848 443 1980
1460 175 1334
1285 95 1671
334 304 754
107 193 22
1163 1638 1776
1140 961 1610
1073 432 1394
1950 13 1449
1736 1271 1107
1553 1120 1902
1885 580 77
1571 1865 524
1243 552 828
1997 659 1021
372 174 1012
500 1667 1973
462 1092 405
1856 1043 418
1305 779 42
764 684 1162
1019 570 94
1448 141 312
1973 1736 864
801 86 1875
175 458 402
1187 958 69
1160 1773 1161
1917 1629 556
335 1287 1688
729 403 372
243 1422 1294
338 871 1436
1002 844 1524
1866 1645 1610
93 172 68
495 1359 1379
564 871 1152
78 788 1133
634 1476 772
674 205 1176
1047 449 950
693 1139 1821
481 141 665
6 359 663
1616 804 1187
1685 1300 547
1416 216 1418
920 294 559
405 1281 35
1178 1955 592
706 1354 1393
1656 48 532
1478 529 1025
495 887 1736
1510 504 541
698 541 1841
1597 309 409
1367 1229 1056
1926 1634 689
313 1164 644
906 1870 351
299 1527 751
1184 1005 1632
209 1852 520
298 1363 1024
839 413 1917
1032 10 226
1441 1377 1455
849 1656 1441
1538 1969 606
535 1227 476
886 1879 355
1637 1063 1360
1621 1624 1565
141 1922 928
1517 761 1341
1434 145 1703
1660 1587 1080
1467 436 1088
909 1975 1058
1867 510 285
695 1748 164
1051 1737 1579
763 1358 1204
328 1852 1478
1256 1369 240
949 804 737
1004 816 324
437 284 1113
1525 1545 1440
583 1764 302
1221 459 50
1385 1510 139
1317 274 1497
521 954 1701
1999 211 1071
591 1512 1875
1329 869 691
5 1306 1327
1118 831 1224
910 1767 988
1212 988 1448
1614 725 1310
1753 42 1936
1603 915 891
1304 915 1454
375 1858 1318
602 1539 187
1646 1897 1493
1325 1015 325
550 278 92
1538 1490 1432
1338 1105 157
649 1210 552
585 1165 1467
1476 470 734
930 1197 945
249 152 484
436 150 381
282 1475 1749
959 377 27
1403 1916 1869
835 1254 1326
1344 255 537
1896 841 54
1364 669 876
450 1952 426
1395 553 578
232 1341 1080
613 1623 555
714 582 1285
1093 1985 1201
963 1172 807
289 517 1415
1178 765 256
1585 481 1277
461 932 1229
887 679 1782
1817 911 1124
897 1877 1099
1805 591 1682
1090 1685 19
643 1000 1544
1802 1641 413
1217 1172 1178
1825 757 12
1103 1218 1296
684 106 1975
467 1923 887
1943 821 764
1042 978 1707
1076 68 1392
1096 711 744
640 865 386
1053 83 1558
583 1908 315
595 1363 1885
1891 48 1991
1867 867 267
1106 810 1440
222 204 418
1929 1281 486
1322 377 1549
418 1369 414
804 774 849
714 1357 1110
1381 305 473
1267 548 873
1258 415 1740
1877 1873 902
1317 95 1107
1735 25 388
221 1699 1117
122 117 838
889 1274 1612
1738 1988 1321
848 1722 1626
1674 989 175
547 599 942
288 477 1168
1542 1794 1263
649 1530 1640
1389 103 1339
858 578 1809
1696 1467 1435
1308 1205 1775
982 54 1497
608 1728 486
1135 627 1438
430 1267 1915
1598 810 1709
1213 1811 1591
854 1553 1695
545 411 273
706 460 92
141 120 1297
269 1102 1703
1766 63 1783
605 1198 411
43 1980 1678
1958 1930 840
19 1144 1004
1611 350 557
1658 895 1320
283 1954 1780
375 447 1901
24 716 1003
1728 483 1066
1863 1088 617
274 1483 949
305 1441 880
1497 1812 24
501 1775 726
1410 1433 1621
731 68 1927
863 795 375
764 820 1091
120 900 1574
1538 763 1014
507 1390 849
1457 47 642
337 1544 455
713 398 230
1439 160 16
1412 891 436
1340 107 1232
67 1223 404
1158 1695 1656
1085 1234 771
451 93 161
1301 1902 560
1943 591 457
750 1304 1207
981 1095 1367
1349 860 611
137 552 718
1721 619 1941
125 1777 1989
133 1214 1575
905 1666 1668
1418 1319 1571
331 1262 162
788 13 1819
1995 1346 1266
1714 1047 126
325 1184 678
1043 906 1649
1337 1383 1427
1678 1517 993
1253 774 659
921 544 1978
844 875 1593
1007 1663 1958
1178 10 1304
444 1725 703
923 50 1887
1601 1446 1145
1251 1135 881
1030 813 750
23 66 1524
1035 1339 68
1365 184 944
958 1543 959
916 721 1322
572 1517 1047
1275 440 1449
1515 394 1247
1012 1645 734
1893 1027 1547
643 1402 1965
519 789 1657
940 155 1841
236 1465 1736
1195 734 457
869 1658 326
1916 934 767
1718 801 1161
965 165 1158
1700 59 537
1599 1054 1939
1917 1574 1081
1574 866 1236
1767 1102 1053
1503 649 1787
312 1519 1446
638 1435 732
1757 1505 1885
918 471 50
428 523 461
965 474 1868
1257 743 1794
338 317 660
1926 436 1762
979 291 411
1119 955 1930
565 1946 1718
1649 1703 1223
1534 974 46
1936 1402 921
750 720 1396
618 329 491
412 667 1161
1072 945 1597
1186 1924 241
1949 1395 1196
1880 312 1142
1950 1961 846
1525 1847 172
1572 136 1926
845 886 646
593 1504 975
1085 268 1994
246 1692 939
1843 878 1216
84 827 611
1281 1059 924
775 1361 1237
1973 887 1437
145 459 1573
72 1304 459
1070 1898 315
46 1335 935
392 1581 627
1332 1776 1857
900 1861 1036
1511 1494 448
787 621 1809
377 595 696
1814 740 1507
1387 812 1164
198 1883 1414
513 281 749
1448 673 330
427 357 106
284 1257 319
1320 1121 165
1768 260 787
1930 637 1382
626 451 474
134 1838 1287
1298 388 1522
712 901 155
1813 701 1180
143 1128 1890
601 1764 1499
921 1085 620
1438 1205 1233
225 1135 1870
1959 114 322
434 248 512
73 1898 901
1947 962 154
454 775 1208
1634 1270 336
1524 223 101
1376 1496 1538
1996 935 1095
1229 1512 583
1452 1472 697
126 258 1297
638 331 1547
1891 630 509
398 1084 1636
1606 1070 1258
1942 595 1481
395 1971 978
285 319 1913
1381 1901 1777
316 1353 1249
1013 1479 1859
662 469 542
209 713 1172
1070 1111 256
1058 717 1327
316 659 274
149 1407 597
1127 1692 1268
1392 1425 1169
1170 93 874
771 1458 705
631 120 1175
1173 681 1888
698 1751 999
954 809 68
633 1477 727
1259 1627 486
208 754 531
1477 499 308
998 1669 402
1873 792 1860
578 1775 333
105 949 1014
345 1999 1118
1696 1305 279
1764 1939 1757
844 1550 1736
1330 1759 842
213 1236 1341
522 234 1362
1276 459 507
1488 1390 282
1821 1495 1583
1188 193 1582
658 1889 888
937 1654 1179
1046 498 729
1134 180 488
1977 394 76
1670 1268 663
1385 544 1474
1892 32 864
174 206 712
1758 1746 905
1340 404 794
228 1693 800
1407 740 1650
489 1874 1831
977 203 577
1406 1874 197
421 1259 741
1895 1151 1125
760 1677 1683
1472 1435 1781
729 1128 185
1523 1708 1879
324 1116 971
1974 1957 1197
157 1286 1753
1086 692 1627
1283 1113 1238
376 1009 741
1854 121 418
1889 1945 206
1671 674 1686
208 549 1394
87 1225 862
1410 1552 819
960 1709 106
713 1148 798
692 431 264
1930 1160 1625
1023 1366 98
1441 1255 43
1999 926 1069
1685 1135 1618
1080 1574 844
1942 1337 396
1114 297 457
1220 1010 1605
370 1702 389
986 1984 1549
611 1007 1267
1061 800 522
1104 1152 1801
173 837 1288
144 269 1214
988 564 551
1736 30 1200
193 1250 210
151 1972 264
540 959 600
441 1922 1959
1708 984 760
582 88 264
383 614 1453
